,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Male,Married_Yes,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Dependents_1,Dependents_2,Dependents_3+,Self_Employed_Yes
0,LP001002,0.07048855905998763,0.0,0.17221418234442834,360.0,1.0,Y,1,0,0,0,1,0,0,0,0
1,LP001003,0.05482993197278912,0.03619171046631627,0.17221418234442834,360.0,1.0,N,1,1,0,0,0,1,0,0,0
2,LP001005,0.0352504638218924,0.0,0.0824891461649783,360.0,1.0,Y,1,1,0,0,1,0,0,0,1
3,LP001006,0.030092764378478663,0.05659154726762186,0.1606367583212735,360.0,1.0,Y,1,1,1,0,1,0,0,0,0
4,LP001008,0.07235621521335807,0.0,0.19102749638205496,360.0,1.0,Y,1,0,0,0,1,0,0,0,0
5,LP001011,0.06514533085961657,0.100703194374445,0.3733719247467438,360.0,1.0,Y,1,1,0,0,1,0,1,0,1
6,LP001013,0.027000618429189858,0.03638370893032856,0.12445730824891461,360.0,1.0,Y,1,1,1,0,1,0,0,0,0
7,LP001014,0.03569573283858998,0.060095519235846113,0.21562952243125902,360.0,0.0,N,1,1,0,1,0,0,0,1,0
8,LP001018,0.047693259121830554,0.03662370701034392,0.23010130246020258,360.0,1.0,Y,1,1,0,0,1,0,1,0,0
9,LP001020,0.15696969696969698,0.2632298941608467,0.49204052098408096,360.0,1.0,N,1,1,0,1,0,1,0,0,0
10,LP001024,0.037724180581323444,0.01679986560107519,0.08827785817655572,360.0,1.0,Y,1,1,0,0,1,0,1,0,0
11,LP001027,0.02906617192331478,0.04415964672282622,0.14471780028943557,360.0,1.0,Y,1,1,0,0,1,0,1,0,0
12,LP001028,0.03615337043908473,0.19454244366045073,0.276410998552822,360.0,1.0,Y,1,1,0,0,1,0,1,0,0
13,LP001029,0.021063698206555348,0.0681594547243622,0.15195369030390735,360.0,1.0,N,1,0,0,0,0,0,0,0,0
14,LP001030,0.014211502782931354,0.026063791489668083,0.011577424023154847,120.0,1.0,Y,1,1,0,0,1,0,1,0,0
15,LP001032,0.05936920222634509,0.0,0.16787264833574528,360.0,1.0,Y,1,0,0,0,1,0,0,0,0
16,LP001034,0.04262213976499691,0.0,0.13169319826338638,240.0,0.0,Y,1,0,1,0,1,1,0,0,0
17,LP001036,0.041558441558441565,0.0,0.09696092619392185,360.0,0.0,N,0,0,0,0,1,0,0,0,0
18,LP001038,0.05858998144712431,0.0,0.17945007235890012,360.0,1.0,N,1,1,1,0,0,0,0,0,0
19,LP001041,0.0303030303030303,0.08399932800537596,0.15340086830680172,360.0,1.0,Y,1,1,0,0,1,0,0,0,0
20,LP001043,0.09288806431663575,0.0,0.1374819102749638,360.0,0.0,N,1,1,1,0,1,0,0,0,0
21,LP001046,0.07179962894248608,0.13499892000863994,0.4428364688856729,360.0,1.0,Y,1,1,0,0,1,1,0,0,0
22,LP001047,0.0303030303030303,0.045863633090935274,0.15484804630969606,360.0,0.0,N,1,1,1,1,0,0,0,0,0
23,LP001050,0.03976499690785405,0.04600763193894449,0.14905933429811866,360.0,0.0,N,1,1,1,0,0,0,1,0,0
24,LP001052,0.0441187384044527,0.07019943840449276,0.20549927641099852,360.0,0.0,N,1,1,0,1,0,1,0,0,0
25,LP001066,0.11638837353123067,0.0,0.26338639652677276,360.0,1.0,Y,1,1,0,1,0,0,0,0,1
26,LP001068,0.032764378478664195,0.05407156742746058,0.16353111432706222,360.0,1.0,Y,1,1,0,1,0,0,0,0,0
27,LP001073,0.050414347557204704,0.024959800321597427,0.14616497829232994,360.0,1.0,Y,1,1,1,0,1,0,1,0,0
28,LP001086,0.01598021026592455,0.0,0.03762662807525326,360.0,1.0,N,1,0,1,0,1,0,0,0,0
29,LP001087,0.04452690166975882,0.049991600067199465,0.1606367583212735,360.0,1.0,Y,0,0,0,1,0,0,1,0,0
30,LP001091,0.049672232529375394,0.08085535315717474,0.2778581765557163,360.0,0.0,N,1,1,0,0,1,1,0,0,0
31,LP001095,0.03731601731601732,0.0,0.09406657018813314,360.0,1.0,N,1,0,0,0,1,0,0,0,0
32,LP001097,0.05617810760667904,0.0,0.1403762662807525,360.0,1.0,N,1,0,0,0,0,1,0,0,1
33,LP001098,0.041434755720470014,0.04000767993856049,0.15195369030390735,360.0,1.0,Y,1,1,0,1,0,0,0,0,0
34,LP001100,0.15275200989486704,0.07199942400460796,0.4500723589001447,360.0,1.0,N,1,0,0,0,0,0,0,1,0
35,LP001106,0.026283240568954855,0.04960760313917489,0.17221418234442834,360.0,1.0,Y,1,1,0,0,1,0,0,0,0
36,LP001109,0.02075448361162647,0.03191974464204286,0.13169319826338638,360.0,0.0,N,1,1,0,0,1,0,0,0,0
